Drop,Horizontal_Break,Induced_Vertical_Break,Pitch_Type,Pitch_Vel,In_Play,Spin,sword_num,batters::k_percent,batters::bb_percent,batters::woba,batters::xwoba,batters::sweet_spot_percent,batters::barrel_batted_rate,batters::hard_hit_percent,batters::avg_best_speed,batters::avg_hyper_speed,batters::whiff_percent,batters::swing_percent
40,6,2,Splitter,80.7,0,791,0,,,,,,,,,,,
44,1,-2,Splitter,79.6,0,667,0,,,,,,,,,,,
44,4,-1,Splitter,79.6,0,892,0,,,,,,,,,,,
42,5,-1,Splitter,80.9,0,856,0,,,,,,,,,,,
47,5,-2,Splitter,78.5,0,827,0,,,,,,,,,,,
42,15,-6,Sinker,87.2,0,2069,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
44,15,-8,Sinker,86.9,0,1984,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
45,17,-8,Sinker,86.9,0,2003,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
42,16,-7,Sinker,88.6,0,2046,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
45,15,-8,Sinker,86.9,0,2029,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
42,12,-6,Sinker,87.4,0,1983,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
46,16,-9,Sinker,87.0,0,2017,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
42,16,-7,Sinker,87.9,0,2038,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
44,16,-8,Sinker,88.0,0,1974,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
44,16,-8,Sinker,87.5,0,2062,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
28,8,7,Splitter,87.9,0,953,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
35,7,0,Splitter,88.5,0,850,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
33,9,4,Sweeper,87.2,0,2592,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
29,13,6,Splitter,87.8,0,972,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
12,4,16,4-Seam Fastball,98.2,0,2392,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
17,14,11,Sinker,98.9,0,2201,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
30,12,5,Splitter,87.7,0,759,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
30,11,5,Sweeper,88.1,0,2518,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
11,3,18,4-Seam Fastball,97.2,0,2399,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
14,8,15,4-Seam Fastball,98.4,0,2303,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
45,3,-7,Curveball,85.0,0,2446,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
12,7,17,4-Seam Fastball,97.4,0,2311,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
27,11,9,Splitter,87.7,1,1128,0,28.1,12.4,.315,.331,32.9,9.1,49,101.943863889,95.380793217,28.8,49.7
32,14,5,Splitter,85.7,0,855,0,28.1,12.4,.315,.331,32.9,9.1,49,101.943863889,95.380793217,28.8,49.7
15,8,13,4-Seam Fastball,98.6,1,2391,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
17,14,11,Sinker,98.4,1,2275,0,,,,,,,,,,,
12,4,17,4-Seam Fastball,97.6,0,2361,0,,,,,,,,,,,
43,16,-8,Sinker,88.1,1,1972,0,,,,,,,,,,,
41,16,-6,Sinker,89.2,0,2041,0,,,,,,,,,,,
40,18,-4,Sinker,88.3,0,2105,0,,,,,,,,,,,
32,19,3,4-Seam Fastball,89.6,0,2221,0,,,,,,,,,,,
41,16,-5,Sinker,87.6,0,2100,0,,,,,,,,,,,
41,20,-4,Sinker,87.1,1,1983,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
43,18,-7,Sinker,87.4,0,1988,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
40,22,0,Sweeper,83.5,0,2935,1,,,,,,,,,,,
28,14,5,Sinker,91.8,0,2455,0,,,,,,,,,,,
40,21,1,Sweeper,81.6,0,2964,0,,,,,,,,,,,
16,9,16,4-Seam Fastball,93.8,1,2571,0,,,,,,,,,,,
39,21,2,Sweeper,81.6,0,3036,0,,,,,,,,,,,
37,13,1,Changeup,85.0,0,1644,0,,,,,,,,,,,
37,13,1,Changeup,84.9,0,1729,0,,,,,,,,,,,
18,9,14,4-Seam Fastball,91.5,0,2438,0,,,,,,,,,,,
14,14,17,4-Seam Fastball,94.2,1,2430,0,,,,,,,,,,,
16,14,16,4-Seam Fastball,94.4,0,2497,0,,,,,,,,,,,
15,13,16,4-Seam Fastball,94.5,0,2418,0,,,,,,,,,,,
12,6,19,4-Seam Fastball,94.3,0,2440,0,,,,,,,,,,,
19,15,12,Sinker,94.0,0,2208,0,,,,,,,,,,,
13,7,19,4-Seam Fastball,93.7,0,2457,0,,,,,,,,,,,
14,6,17,4-Seam Fastball,93.6,1,2195,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
34,11,7,Splitter,81.4,1,1043,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
30,13,11,Splitter,81.9,0,1192,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
13,8,19,4-Seam Fastball,92.9,0,2283,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
